words@lgp1960m	@lgp1960m	76.082	76.403	в
words@lgp1960m	@lgp1960m	76.403	76.724	голове
words@lgp1960m	@lgp1960m	76.724	77.045	/
words@lgp1960m	@lgp1960m	77.045	77.366	я
words@lgp1960m	@lgp1960m	77.366	77.687	не
words@lgp1960m	@lgp1960m	77.687	78.008	несу
words@lgp1960m	@lgp1960m	78.008	78.329	никакую
words@lgp1960m	@lgp1960m	78.329	78.65	ответственность
words@lgp1960m	@lgp1960m	78.65	78.971	как-то
words@lgp1960m	@lgp1960m	78.971	79.292	за
words@lgp1960m	@lgp1960m	79.292	79.613	/
words@lgp1960m	@lgp1960m	79.613	79.934	/
words@lgp1960m	@lgp1960m	79.934	80.255	ни
words@lgp1960m	@lgp1960m	80.255	80.576	за
words@lgp1960m	@lgp1960m	80.576	80.897	позицию
words@lgp1960m	@lgp1960m	80.897	81.218	МИД
words@lgp1960m	@lgp1960m	81.218	81.539	Российской
words@lgp1960m	@lgp1960m	81.539	81.86	Федерации
words@lgp1960m	@lgp1960m	81.86	82.181	/
words@lgp1960m	@lgp1960m	82.181	82.502	ни
words@lgp1960m	@lgp1960m	82.502	82.823	за
words@lgp1960m	@lgp1960m	82.823	83.144	Госдепартамент
words@lgp1960m	@lgp1960m	83.144	83.465	/
words@lgp1960m	@lgp1960m	83.465	83.786	ни
words@lgp1960m	@lgp1960m	83.786	84.107	за
words@lgp1960m	@lgp1960m	84.107	84.49	кого
words@lgp1960m	@lgp1960m	88.515	88.844	Мм
words@lgp1960m	@lgp1960m	88.844	89.173	/
words@lgp1960m	@lgp1960m	89.173	89.502	нет
words@lgp1960m	@lgp1960m	89.502	89.831	/
words@lgp1960m	@lgp1960m	89.831	90.16	вы
words@lgp1960m	@lgp1960m	90.16	90.489	знаете
words@lgp1960m	@lgp1960m	90.489	90.818	/
words@lgp1960m	@lgp1960m	90.818	91.147	мне
words@lgp1960m	@lgp1960m	91.147	91.476	много
words@lgp1960m	@lgp1960m	91.476	91.805	чего
words@lgp1960m	@lgp1960m	91.805	92.134	не
words@lgp1960m	@lgp1960m	92.134	92.463	нравится
words@lgp1960m	@lgp1960m	92.463	92.792	в
words@lgp1960m	@lgp1960m	92.792	93.121	сегодняшней
words@lgp1960m	@lgp1960m	93.121	93.45	российской
words@lgp1960m	@lgp1960m	93.45	93.779	общественно-политической
words@lgp1960m	@lgp1960m	93.779	94.108	ситуации
words@lgp1960m	@lgp1960m	94.108	94.437	/
words@lgp1960m	@lgp1960m	94.437	94.766	и
words@lgp1960m	@lgp1960m	94.766	95.095	плохие
words@lgp1960m	@lgp1960m	95.095	95.424	отношения
words@lgp1960m	@lgp1960m	95.424	95.753	официальные
words@lgp1960m	@lgp1960m	95.753	96.082	с
words@lgp1960m	@lgp1960m	96.082	96.411	Грузией
words@lgp1960m	@lgp1960m	96.411	96.74	/
words@lgp1960m	@lgp1960m	96.74	97.069	это
words@lgp1960m	@lgp1960m	97.069	97.398	/
words@lgp1960m	@lgp1960m	97.398	97.727	в
words@lgp1960m	@lgp1960m	97.727	98.056	общем
words@lgp1960m	@lgp1960m	98.056	98.385	/
words@lgp1960m	@lgp1960m	98.385	98.714	стосемнадцатый
words@lgp1960m	@lgp1960m	98.714	99.043	пункт
words@lgp1960m	@lgp1960m	99.043	99.372	/
words@lgp1960m	@lgp1960m	99.372	99.701	и
words@lgp1960m	@lgp1960m	99.701	100.03	есть
words@lgp1960m	@lgp1960m	100.03	100.359	гораздо
words@lgp1960m	@lgp1960m	100.359	100.688	большие
words@lgp1960m	@lgp1960m	100.688	101.017	проблемы
words@lgp1960m	@lgp1960m	101.017	101.346	/
words@lgp1960m	@lgp1960m	101.346	101.675	/
words@lgp1960m	@lgp1960m	101.675	102.004	Ничего
words@lgp1960m	@lgp1960m	102.004	102.333	/
words@lgp1960m	@lgp1960m	102.333	102.662	как-нибудь
words@lgp1960m	@lgp1960m	102.662	102.991	переживём
words@lgp1960m	@lgp1960m	102.991	103.32	/
words@lgp1960m	@lgp1960m	103.32	103.649	/
words@lgp1960m	@lgp1960m	103.649	103.978	Я
words@lgp1960m	@lgp1960m	103.978	104.307	как-то
words@lgp1960m	@lgp1960m	104.307	104.636	/
words@lgp1960m	@lgp1960m	104.636	104.965	вот
words@lgp1960m	@lgp1960m	104.965	105.294	/
words@lgp1960m	@lgp1960m	105.294	105.623	нн
words@lgp1960m	@lgp1960m	105.623	105.952	меня
words@lgp1960m	@lgp1960m	105.952	106.281	мне
words@lgp1960m	@lgp1960m	106.281	106.61	не
words@lgp1960m	@lgp1960m	106.61	106.939	нужно
words@lgp1960m	@lgp1960m	106.939	107.268	/
words@lgp1960m	@lgp1960m	107.268	107.597	это
words@lgp1960m	@lgp1960m	107.597	107.926	барьеры
words@lgp1960m	@lgp1960m	107.926	108.255	не
words@lgp1960m	@lgp1960m	108.255	108.584	для
words@lgp1960m	@lgp1960m	108.584	108.913	меня
words@lgp1960m	@lgp1960m	108.913	109.242	точно
words@lgp1960m	@lgp1960m	109.242	109.571	/
words@lgp1960m	@lgp1960m	109.571	109.9	/
words@lgp1960m	@lgp1960m	109.9	110.229	Мне
words@lgp1960m	@lgp1960m	110.229	110.558	это
words@lgp1960m	@lgp1960m	110.558	110.887	не
words@lgp1960m	@lgp1960m	110.887	111.216	мешает
words@lgp1960m	@lgp1960m	111.216	111.545	/
words@lgp1960m	@lgp1960m	111.545	111.874	никак
words@lgp1960m	@lgp1960m	111.874	112.203	/
words@lgp1960m	@lgp1960m	112.203	112.532	/
words@lgp1960m	@lgp1960m	112.532	112.861	И
words@lgp1960m	@lgp1960m	112.861	113.19	уж
words@lgp1960m	@lgp1960m	113.19	113.519	тем
words@lgp1960m	@lgp1960m	113.519	113.848	более
words@lgp1960m	@lgp1960m	113.848	114.177	не
words@lgp1960m	@lgp1960m	114.177	114.506	мешает
words@lgp1960m	@lgp1960m	114.506	114.835	/
words@lgp1960m	@lgp1960m	114.835	115.164	я
words@lgp1960m	@lgp1960m	115.164	115.493	не
words@lgp1960m	@lgp1960m	115.493	115.822	думаю
words@lgp1960m	@lgp1960m	115.822	116.151	об
words@lgp1960m	@lgp1960m	116.151	116.48	этом
words@lgp1960m	@lgp1960m	116.48	116.809	/
words@lgp1960m	@lgp1960m	116.809	117.138	когда
words@lgp1960m	@lgp1960m	117.138	117.467	я
words@lgp1960m	@lgp1960m	117.467	117.796	рассказываю
words@lgp1960m	@lgp1960m	117.796	118.125	/
words@lgp1960m	@lgp1960m	118.125	118.454	не
words@lgp1960m	@lgp1960m	118.454	118.783	знаю
words@lgp1960m	@lgp1960m	118.783	119.112	там
words@lgp1960m	@lgp1960m	119.112	119.441	/
words@lgp1960m	@lgp1960m	119.441	119.77	о
words@lgp1960m	@lgp1960m	119.77	120.099	Пиросмани
words@lgp1960m	@lgp1960m	120.099	120.428	или
words@lgp1960m	@lgp1960m	120.428	120.757	Багратионе
words@lgp1960m	@lgp1960m	120.757	121.086	/
